Key,Source,Context,Example,en,fr
cosmetic.BlueChakraAura,Blue Chakra Aura,JutsuBattlegrounds,,Blue Chakra Aura,Aura de Chakra Bleu
cosmetic.ClanKimono,Clan Kimono,JutsuBattlegrounds,,Clan Kimono,Kimono du Clan
cosmetic.GeninHeadband,Genin Headband,JutsuBattlegrounds,,Genin Headband,Bandeau du Genin
cosmetic.GoldenChakraAura,Golden Chakra Aura,JutsuBattlegrounds,,Golden Chakra Aura,Aura de Chakra Doré
cosmetic.HokageCloak,Hokage Cloak,JutsuBattlegrounds,,Hokage Cloak,Manteau du Hokage
cosmetic.KillEffectLightning,Lightning Finisher,JutsuBattlegrounds,,Lightning Finisher,Finisher Foudre
cosmetic.KillEffectPetals,Petal Finisher,JutsuBattlegrounds,,Petal Finisher,Finisher Pétales
cosmetic.KillEffectShatter,Shatter Finisher,JutsuBattlegrounds,,Shatter Finisher,Finisher Éclat
cosmetic.KillEffectSupernova,Supernova Finisher,JutsuBattlegrounds,,Supernova Finisher,Finisher Supernova
cosmetic.MistCape,Mist Cape,JutsuBattlegrounds,,Mist Cape,Cape de Brume
cosmetic.SageCloak,Sage Cloak,JutsuBattlegrounds,,Sage Cloak,Manteau de Sage
cosmetic.SkinEarthSpikesObsidian,Obsidian Earth Spikes Skin,JutsuBattlegrounds,,Obsidian Earth Spikes Skin,Skin Piques de Terre Obsidienne
cosmetic.SkinEarthquakeCrystal,Crystal Earthquake Skin,JutsuBattlegrounds,,Crystal Earthquake Skin,Skin Séisme Cristal
cosmetic.SkinEarthquakeMagma,Magma Earthquake Skin,JutsuBattlegrounds,,Magma Earthquake Skin,Skin Séisme Magma
cosmetic.SkinEmberStormAzure,Azure Ember Storm Skin,JutsuBattlegrounds,,Azure Ember Storm Skin,Skin Tempête de Braises Azur
cosmetic.SkinFireballAzure,Azure Fireball Skin,JutsuBattlegrounds,,Azure Fireball Skin,Skin Boule de Feu Azur
cosmetic.SkinFireballEmerald,Emerald Fireball Skin,JutsuBattlegrounds,,Emerald Fireball Skin,Skin Boule de Feu Émeraude
cosmetic.SkinWaterWaveJade,Jade Water Wave Skin,JutsuBattlegrounds,,Jade Water Wave Skin,Skin Vague Aquatique Jade
cosmetic.SkinWindGustSilver,Silver Gust Skin,JutsuBattlegrounds,,Silver Gust Skin,Skin Rafale Argent
cosmetic.SteelKatana,Steel Katana,JutsuBattlegrounds,,Steel Katana,Katana d'Acier
cosmetic.TitleAnbu,Title: Anbu,JutsuBattlegrounds,,Title: Anbu,Titre : Anbu
cosmetic.TitleJonin,Title: Jonin,JutsuBattlegrounds,,Title: Jonin,Titre : Jonin
cosmetic.TitleKage,Title: Kage,JutsuBattlegrounds,,Title: Kage,Titre : Kage
cosmetic.TitleKageSeason,Title: Season Kage,JutsuBattlegrounds,,Title: Season Kage,Titre : Kage de la saison
cosmetic.TitleRookie,Title: Rookie,JutsuBattlegrounds,,Title: Rookie,Titre : Recrue
cosmetic.TitleShadow,Title: Shadow,JutsuBattlegrounds,,Title: Shadow,Titre : Ombre
cosmetic.TitleWanderer,Title: Wanderer,JutsuBattlegrounds,,Title: Wanderer,Titre : Vagabond
cosmetic.TrailEmber,Ember Trail,JutsuBattlegrounds,,Ember Trail,Traînée de Braises
cosmetic.TrailLeaf,Leaf Trail,JutsuBattlegrounds,,Leaf Trail,Traînée de Feuilles
cosmetic.TrailSand,Sand Trail,JutsuBattlegrounds,,Sand Trail,Traînée de Sable
cosmetic.TrailStorm,Storm Trail,JutsuBattlegrounds,,Storm Trail,Traînée de Tempête
cosmetic.TrailViolet,Violet Trail,JutsuBattlegrounds,,Violet Trail,Traînée Violette
cosmetic.VioletChakraAura,Violet Chakra Aura,JutsuBattlegrounds,,Violet Chakra Aura,Aura de Chakra Violet
currency.ryo,Ryo,JutsuBattlegrounds,,Ryo,Ryo
daily.broken,Your streak was reset. Come back tomorrow to keep it going!,JutsuBattlegrounds,,Your streak was reset. Come back tomorrow to keep it going!,Ta série est repartie de zéro. Reviens demain pour la garder !
daily.claimed,"Day {day} reward: +{xp} XP, +{ryo} Ryo",JutsuBattlegrounds,,"Day {day} reward: +{xp} XP, +{ryo} Ryo","Récompense du jour {day} : +{xp} XP, +{ryo} Ryo"
daily.firstWin,"First win of the day! +{xp} XP, +{ryo} Ryo",JutsuBattlegrounds,,"First win of the day! +{xp} XP, +{ryo} Ryo","Première victoire du jour ! +{xp} XP, +{ryo} Ryo"
daily.premium,"Premium bonus: +{xp} XP, +{ryo} Ryo",JutsuBattlegrounds,,"Premium bonus: +{xp} XP, +{ryo} Ryo","Bonus Premium : +{xp} XP, +{ryo} Ryo"
daily.streak,Login streak: day {day},JutsuBattlegrounds,,Login streak: day {day},Série de connexion : jour {day}
daily.title,Daily reward,JutsuBattlegrounds,,Daily reward,Récompense du jour
element.earth,Earth,JutsuBattlegrounds,,Earth,Terre
element.fire,Fire,JutsuBattlegrounds,,Fire,Feu
element.lightning,Lightning,JutsuBattlegrounds,,Lightning,Foudre
element.water,Water,JutsuBattlegrounds,,Water,Eau
element.wind,Wind,JutsuBattlegrounds,,Wind,Vent
enemy.dummy,Training Dummy,JutsuBattlegrounds,,Training Dummy,Mannequin d'entraînement
hub.queueTerminal,Match queue,JutsuBattlegrounds,,Match queue,File de match
hub.shop,Shop,JutsuBattlegrounds,,Shop,Boutique
hub.trainingArea,Training,JutsuBattlegrounds,,Training,Entraînement
hud.bar,{name}  {current} / {max},JutsuBattlegrounds,,{name}  {current} / {max},{name}  {current} / {max}
hud.cast.cooldown,{name}: {seconds}s left,JutsuBattlegrounds,,{name}: {seconds}s left,{name} : encore {seconds}s
hud.cast.failed,{name} failed,JutsuBattlegrounds,,{name} failed,{name} a échoué
hud.cast.locked,{name} is locked,JutsuBattlegrounds,,{name} is locked,{name} est verrouillé
hud.cast.notEnoughChakra,Not enough chakra,JutsuBattlegrounds,,Not enough chakra,Pas assez de chakra
hud.cast.notEquipped,{name} is not in your loadout,JutsuBattlegrounds,,{name} is not in your loadout,{name} n'est pas dans ton équipement
hud.cast.success,{name}!,JutsuBattlegrounds,,{name}!,{name} !
hud.cast.tooFast,Too fast! Catch your breath…,JutsuBattlegrounds,,Too fast! Catch your breath…,Trop rapide ! Reprends ton souffle…
hud.chakra,Chakra,JutsuBattlegrounds,,Chakra,Chakra
hud.combo.dissipated,The sequence dissipated…,JutsuBattlegrounds,,The sequence dissipated…,La séquence s'est dissipée…
hud.combo.noMatch,No jutsu matches…,JutsuBattlegrounds,,No jutsu matches…,Aucun jutsu ne correspond…
hud.currency,{amount} {currency},JutsuBattlegrounds,,{amount} {currency},{amount} {currency}
hud.health,Health,JutsuBattlegrounds,,Health,Vie
hud.hint.gamepad,{menu} = Menu,JutsuBattlegrounds,,{menu} = Menu,{menu} = Menu
hud.hint.keyboard,{menu} = Menu,JutsuBattlegrounds,,{menu} = Menu,{menu} = Menu
hud.killReward,Enemy defeated! +{xp} XP,JutsuBattlegrounds,,Enemy defeated! +{xp} XP,Ennemi vaincu ! +{xp} XP
hud.levelUp,Level {level} reached!,JutsuBattlegrounds,,Level {level} reached!,Niveau {level} atteint !
hud.playerKill,You defeated {name}! +{xp} XP,JutsuBattlegrounds,,You defeated {name}! +{xp} XP,Tu as vaincu {name} ! +{xp} XP
hud.status.bonus,{status}: +{percent}% damage,JutsuBattlegrounds,,{status}: +{percent}% damage,{status} : +{percent} % de dégâts
hud.tierUp,Battle pass tier {tier} unlocked!,JutsuBattlegrounds,,Battle pass tier {tier} unlocked!,Palier {tier} du pass débloqué !
jutsu.BoilingMist.desc,A scalding cloud that burns and slows enemies inside.,JutsuBattlegrounds,,A scalding cloud that burns and slows enemies inside.,Un nuage brûlant qui blesse et ralentit les ennemis à l'intérieur.
jutsu.BoilingMist.name,Boiling Mist,JutsuBattlegrounds,,Boiling Mist,Brume Bouillante
jutsu.Cyclone.desc,A whirlwind that drags everyone caught in it toward its centre.,JutsuBattlegrounds,,A whirlwind that drags everyone caught in it toward its centre.,Une tornade qui attire vers son centre tout ce qu'elle happe.
jutsu.Cyclone.name,Cyclone,JutsuBattlegrounds,,Cyclone,Cyclone
jutsu.EarthSpikes.desc,Rock spikes burst from the ground in a straight line.,JutsuBattlegrounds,,Rock spikes burst from the ground in a straight line.,Des piques rocheuses jaillissent du sol en ligne droite.
jutsu.EarthSpikes.name,Earth Spikes,JutsuBattlegrounds,,Earth Spikes,Piques de Terre
jutsu.Earthquake.desc,Slam the ground: a massive shockwave launches enemies.,JutsuBattlegrounds,,Slam the ground: a massive shockwave launches enemies.,Frappe le sol : une onde de choc massive projette les ennemis.
jutsu.Earthquake.name,Earthquake,JutsuBattlegrounds,,Earthquake,Séisme
jutsu.EmberStep.desc,A short dash that leaves a burning trail behind you.,JutsuBattlegrounds,,A short dash that leaves a burning trail behind you.,Une ruée courte qui laisse une traînée brûlante derrière toi.
jutsu.EmberStep.name,Ember Step,JutsuBattlegrounds,,Ember Step,Pas de Braise
jutsu.EmberStorm.desc,A ring of embers whirls around you and burns everything.,JutsuBattlegrounds,,A ring of embers whirls around you and burns everything.,Un anneau de braises tourbillonne autour de toi et brûle tout.
jutsu.EmberStorm.name,Ember Storm,JutsuBattlegrounds,,Ember Storm,Tempête de Braises
jutsu.Fireball.desc,Hurls a sphere of flames that explodes on impact.,JutsuBattlegrounds,,Hurls a sphere of flames that explodes on impact.,Projette une sphère de flammes qui explose à l'impact.
jutsu.Fireball.name,Fireball,JutsuBattlegrounds,,Fireball,Boule de Feu
jutsu.LightningBolt.desc,An instant bolt that strikes the first enemy in your line of sight.,JutsuBattlegrounds,,An instant bolt that strikes the first enemy in your line of sight.,Un éclair instantané qui frappe le premier ennemi dans ta ligne de vue.
jutsu.LightningBolt.name,Lightning Bolt,JutsuBattlegrounds,,Lightning Bolt,Éclair
jutsu.LightningStep.desc,"Blink forward in a flash, untouchable for an instant.",JutsuBattlegrounds,,"Blink forward in a flash, untouchable for an instant.","Disparais vers l'avant dans un éclair, intouchable un instant."
jutsu.LightningStep.name,Lightning Step,JutsuBattlegrounds,,Lightning Step,Pas de l'Éclair
jutsu.Meteor.desc,Calls down a blazing rock that shatters guards where it lands.,JutsuBattlegrounds,,Calls down a blazing rock that shatters guards where it lands.,Fait tomber un rocher enflammé qui brise les gardes là où il s'écrase.
jutsu.Meteor.name,Meteor,JutsuBattlegrounds,,Meteor,Météore
jutsu.MudShot.desc,Spits a fast bullet of mud that slows whoever it hits.,JutsuBattlegrounds,,Spits a fast bullet of mud that slows whoever it hits.,Crache une balle de boue rapide qui ralentit sa cible.
jutsu.MudShot.name,Mud Shot,JutsuBattlegrounds,,Mud Shot,Tir de Boue
jutsu.MudWall.desc,Raises a defensive wall of mud in front of you.,JutsuBattlegrounds,,Raises a defensive wall of mud in front of you.,Érige un mur de boue défensif devant toi.
jutsu.MudWall.name,Mud Wall,JutsuBattlegrounds,,Mud Wall,Mur de Boue
jutsu.Raijin.desc,The thunder god's wrath arcs from enemy to enemy.,JutsuBattlegrounds,,The thunder god's wrath arcs from enemy to enemy.,La colère du dieu du tonnerre bondit d'ennemi en ennemi.
jutsu.Raijin.name,Raijin,JutsuBattlegrounds,,Raijin,Raijin
jutsu.Sandstorm.desc,A storm of sand that blinds and slows everyone inside it.,JutsuBattlegrounds,,A storm of sand that blinds and slows everyone inside it.,Une tempête de sable qui aveugle et ralentit ceux qui s'y trouvent.
jutsu.Sandstorm.name,Sandstorm,JutsuBattlegrounds,,Sandstorm,Tempête de Sable
jutsu.StaticField.desc,A crackling field that shocks and locks up anyone standing in it.,JutsuBattlegrounds,,A crackling field that shocks and locks up anyone standing in it.,Un champ crépitant qui électrise et bloque ceux qui s'y attardent.
jutsu.StaticField.name,Static Field,JutsuBattlegrounds,,Static Field,Champ Statique
jutsu.StoneSkin.desc,Hardens your skin: less damage taken and no knockback for a few seconds.,JutsuBattlegrounds,,Hardens your skin: less damage taken and no knockback for a few seconds.,Durcit ta peau : moins de dégâts subis et aucun recul pendant quelques secondes.
jutsu.StoneSkin.name,Stone Skin,JutsuBattlegrounds,,Stone Skin,Peau de Pierre
jutsu.WaterPrison.desc,Traps the closest enemy in a sphere of water and roots them in place.,JutsuBattlegrounds,,Traps the closest enemy in a sphere of water and roots them in place.,Emprisonne l'ennemi le plus proche dans une sphère d'eau et le cloue au sol.
jutsu.WaterPrison.name,Water Prison,JutsuBattlegrounds,,Water Prison,Prison d'Eau
jutsu.WaterWave.desc,A wave surges forward and sweeps enemies away.,JutsuBattlegrounds,,A wave surges forward and sweeps enemies away.,Une vague déferle et balaie les ennemis.
jutsu.WaterWave.name,Water Wave,JutsuBattlegrounds,,Water Wave,Vague Aquatique
jutsu.WindBlade.desc,Throws a blade of wind that fans its target for your next fire jutsu.,JutsuBattlegrounds,,Throws a blade of wind that fans its target for your next fire jutsu.,Lance une lame de vent qui évente sa cible pour ton prochain jutsu de feu.
jutsu.WindBlade.name,Wind Blade,JutsuBattlegrounds,,Wind Blade,Lame de Vent
jutsu.WindGust.desc,A cone of wind violently pushes nearby enemies back.,JutsuBattlegrounds,,A cone of wind violently pushes nearby enemies back.,Un cône de vent repousse violemment les ennemis proches.
jutsu.WindGust.name,Slicing Gust,JutsuBattlegrounds,,Slicing Gust,Rafale Tranchante
kick.abuse,Disconnected: too many invalid requests.,JutsuBattlegrounds,,Disconnected: too many invalid requests.,Déconnecté : trop de requêtes invalides.
kick.loadFailed,Could not load your data. Please try again in a minute.,JutsuBattlegrounds,,Could not load your data. Please try again in a minute.,Impossible de charger tes données. Réessaie dans une minute.
kick.sessionElsewhere,Your session was opened on another server. Please rejoin.,JutsuBattlegrounds,,Your session was opened on another server. Please rejoin.,Ta session a été ouverte sur un autre serveur. Rejoins à nouveau.
leaderboard.board.Duel1v1,1v1,JutsuBattlegrounds,,1v1,1v1
leaderboard.board.Global,Global,JutsuBattlegrounds,,Global,Global
leaderboard.board.Team3v3,3v3,JutsuBattlegrounds,,3v3,3v3
leaderboard.empty,No ranked player yet.,JutsuBattlegrounds,,No ranked player yet.,Aucun joueur classé pour l'instant.
leaderboard.rating,{rating},JutsuBattlegrounds,,{rating},{rating}
leaderboard.row,#{rank}  {name},JutsuBattlegrounds,,#{rank}  {name},#{rank}  {name}
leaderboard.title,Leaderboard,JutsuBattlegrounds,,Leaderboard,Classement
leaderboard.unranked,Unranked — play a ranked match,JutsuBattlegrounds,,Unranked — play a ranked match,Non classé — joue un match classé
leaderboard.you,You: #{rank} ({rating}),JutsuBattlegrounds,,You: #{rank} ({rating}),Toi : #{rank} ({rating})
level.max,Max level,JutsuBattlegrounds,,Max level,Niveau max
level.title,Level {level},JutsuBattlegrounds,,Level {level},Niveau {level}
level.xp,{xp} / {needed} XP,JutsuBattlegrounds,,{xp} / {needed} XP,{xp} / {needed} XP
match.countdown,{seconds},JutsuBattlegrounds,,{seconds},{seconds}
match.defeat,Defeat,JutsuBattlegrounds,,Defeat,Défaite
match.draw,Draw,JutsuBattlegrounds,,Draw,Égalité
match.firstWin,First win of the day!,JutsuBattlegrounds,,First win of the day!,Première victoire du jour !
match.opponentLeft,Your opponent left.,JutsuBattlegrounds,,Your opponent left.,Ton adversaire est parti.
match.rankUp,New rank: {rank}!,JutsuBattlegrounds,,New rank: {rank}!,Nouveau rang : {rank} !
match.ratingDown,{rank}  {rating} ({delta}),JutsuBattlegrounds,,{rank}  {rating} ({delta}),{rank}  {rating} ({delta})
match.ratingUp,{rank}  {rating} (+{delta}),JutsuBattlegrounds,,{rank}  {rating} (+{delta}),{rank}  {rating} (+{delta})
match.returning,Returning to the hub…,JutsuBattlegrounds,,Returning to the hub…,Retour au hub…
match.rewards,"+{xp} XP, +{ryo} Ryo",JutsuBattlegrounds,,"+{xp} XP, +{ryo} Ryo","+{xp} XP, +{ryo} Ryo"
match.round,Round {round} / {total},JutsuBattlegrounds,,Round {round} / {total},Manche {round} / {total}
match.roundLost,Round lost,JutsuBattlegrounds,,Round lost,Manche perdue
match.roundWon,Round won!,JutsuBattlegrounds,,Round won!,Manche gagnée !
match.score,{ours} - {theirs},JutsuBattlegrounds,,{ours} - {theirs},{ours} - {theirs}
match.starting,Get ready!,JutsuBattlegrounds,,Get ready!,Prépare-toi !
match.timeLeft,{seconds}s,JutsuBattlegrounds,,{seconds}s,{seconds}s
match.victory,Victory!,JutsuBattlegrounds,,Victory!,Victoire !
menu.battlepass,Battle Pass,JutsuBattlegrounds,,Battle Pass,Battle Pass
menu.leaderboard,Leaderboard,JutsuBattlegrounds,,Leaderboard,Classement
menu.loadout,Loadout,JutsuBattlegrounds,,Loadout,Équipement
menu.quests,Quests,JutsuBattlegrounds,,Quests,Quêtes
menu.settings,Settings,JutsuBattlegrounds,,Settings,Options
menu.shop,Shop,JutsuBattlegrounds,,Shop,Boutique
menu.title,Menu,JutsuBattlegrounds,,Menu,Menu
mode.duel1v1,Ranked 1v1,JutsuBattlegrounds,,Ranked 1v1,1v1 classé
mode.team3v3,Team 3v3,JutsuBattlegrounds,,Team 3v3,3v3 en équipe
pass.lightning,Lightning Element,JutsuBattlegrounds,,Lightning Element,Élément Foudre
pass.lightning.desc,Unlock Lightning right away (or reach level {level} for free).,JutsuBattlegrounds,,Unlock Lightning right away (or reach level {level} for free).,Débloque la Foudre tout de suite (ou atteins le niveau {level} gratuitement).
pass.loadoutSlots,Loadout Slots,JutsuBattlegrounds,,Loadout Slots,Slots d'équipement
pass.loadoutSlots.desc,+4 loadout slots (10 in total).,JutsuBattlegrounds,,+4 loadout slots (10 in total).,+4 slots d'équipement (10 au total).
pass.skinPack,Skin Pack,JutsuBattlegrounds,,Skin Pack,Pack de skins
pass.skinPack.desc,"Four jutsu skins, one per base element.",JutsuBattlegrounds,,"Four jutsu skins, one per base element.","Quatre skins de jutsu, un par élément de base."
pass.vip,VIP,JutsuBattlegrounds,,VIP,VIP
pass.vip.desc,"Double XP, +50% Ryo, chat tag and an exclusive aura.",JutsuBattlegrounds,,"Double XP, +50% Ryo, chat tag and an exclusive aura.","XP ×2, +50 % de Ryo, tag dans le chat et une aura exclusive."
product.cosmetic,Cosmetic,JutsuBattlegrounds,,Cosmetic,Cosmétique
product.cosmetic.desc,Buy the selected cosmetic with Robux.,JutsuBattlegrounds,,Buy the selected cosmetic with Robux.,Achète le cosmétique sélectionné avec des Robux.
product.premiumPass,Premium Battle Pass,JutsuBattlegrounds,,Premium Battle Pass,Battle Pass Premium
product.premiumPass.desc,Unlock the premium track of the current season.,JutsuBattlegrounds,,Unlock the premium track of the current season.,Débloque la piste premium de la saison en cours.
product.ryo.desc,Ryo to spend in the cosmetic shop.,JutsuBattlegrounds,,Ryo to spend in the cosmetic shop.,Des Ryo à dépenser dans la boutique de cosmétiques.
product.ryoLarge,"8,000 Ryo",JutsuBattlegrounds,,"8,000 Ryo",8 000 Ryo
product.ryoMedium,"3,500 Ryo",JutsuBattlegrounds,,"3,500 Ryo",3 500 Ryo
product.ryoSmall,"1,000 Ryo",JutsuBattlegrounds,,"1,000 Ryo",1 000 Ryo
product.tierSkip5,+5 Tiers,JutsuBattlegrounds,,+5 Tiers,+5 paliers
product.tierSkip5.desc,Advance five battle pass tiers.,JutsuBattlegrounds,,Advance five battle pass tiers.,Avance de cinq paliers du battle pass.
product.xpBoost1h,XP Boost (1 h),JutsuBattlegrounds,,XP Boost (1 h),Boost d'XP (1 h)
product.xpBoost1h.desc,Double XP for one hour.,JutsuBattlegrounds,,Double XP for one hour.,XP doublée pendant une heure.
quest.castJutsus,Cast {target} jutsus,JutsuBattlegrounds,,Cast {target} jutsus,Lance {target} jutsus
quest.claim,Claim,JutsuBattlegrounds,,Claim,Récupérer
quest.claimed,Claimed,JutsuBattlegrounds,,Claimed,Récupérée
quest.completed,Quest completed: {name},JutsuBattlegrounds,,Quest completed: {name},Quête terminée : {name}
quest.daily,Daily quests,JutsuBattlegrounds,,Daily quests,Quêtes journalières
quest.dealDamage,Deal {target} damage,JutsuBattlegrounds,,Deal {target} damage,Inflige {target} dégâts
quest.defeatDummies,Defeat {target} training dummies,JutsuBattlegrounds,,Defeat {target} training dummies,Détruis {target} mannequins
quest.defeatPlayers,Defeat {target} players,JutsuBattlegrounds,,Defeat {target} players,Vaincs {target} joueurs
quest.hitJutsus,Hit enemies with {target} jutsus,JutsuBattlegrounds,,Hit enemies with {target} jutsus,Touche des ennemis avec {target} jutsus
quest.joinBoss,Take part in {target} World Boss fights,JutsuBattlegrounds,,Take part in {target} World Boss fights,Participe à {target} combats de World Boss
quest.landMelee,Land {target} melee hits,JutsuBattlegrounds,,Land {target} melee hits,Place {target} coups au corps à corps
quest.playMatches,Play {target} matches,JutsuBattlegrounds,,Play {target} matches,Joue {target} matchs
quest.progress,{progress} / {target},JutsuBattlegrounds,,{progress} / {target},{progress} / {target}
quest.reward,"+{xp} XP, +{ryo} Ryo",JutsuBattlegrounds,,"+{xp} XP, +{ryo} Ryo","+{xp} XP, +{ryo} Ryo"
quest.useDash,Dash {target} times,JutsuBattlegrounds,,Dash {target} times,Utilise le dash {target} fois
quest.weekly,Weekly quests,JutsuBattlegrounds,,Weekly quests,Quêtes hebdomadaires
quest.winMatches,Win {target} matches,JutsuBattlegrounds,,Win {target} matches,Gagne {target} matchs
queue.alreadyQueued,You are already in a queue.,JutsuBattlegrounds,,You are already in a queue.,Tu es déjà dans une file.
queue.inMatch,You are already in a match.,JutsuBattlegrounds,,You are already in a match.,Tu es déjà en match.
queue.join,Join queue,JutsuBattlegrounds,,Join queue,Rejoindre la file
queue.joined,Queued for {mode}.,JutsuBattlegrounds,,Queued for {mode}.,En file pour {mode}.
queue.leave,Leave queue,JutsuBattlegrounds,,Leave queue,Quitter la file
queue.left,You left the queue.,JutsuBattlegrounds,,You left the queue.,Tu as quitté la file.
queue.searching,Searching… {waited}s,JutsuBattlegrounds,,Searching… {waited}s,Recherche… {waited}s
queue.timedOut,No opponent found. Try again!,JutsuBattlegrounds,,No opponent found. Try again!,Aucun adversaire trouvé. Réessaie !
queue.title,Play,JutsuBattlegrounds,,Play,Jouer
queue.waiting,{queued} / {needed} players,JutsuBattlegrounds,,{queued} / {needed} players,{queued} / {needed} joueurs
rank.anbu,Anbu,JutsuBattlegrounds,,Anbu,Anbu
rank.chunin,Chunin,JutsuBattlegrounds,,Chunin,Chunin
rank.genin,Genin,JutsuBattlegrounds,,Genin,Genin
rank.jonin,Jonin,JutsuBattlegrounds,,Jonin,Jonin
rank.kage,Kage,JutsuBattlegrounds,,Kage,Kage
settings.bound,{action} is now {key}. Don't forget to save!,JutsuBattlegrounds,,{action} is now {key}. Don't forget to save!,{action} est maintenant sur {key}. N'oublie pas de sauvegarder !
settings.cameraShake,Camera shake,JutsuBattlegrounds,,Camera shake,Secousses de caméra
settings.captureCancelled,Cancelled.,JutsuBattlegrounds,,Cancelled.,Capture annulée.
settings.duplicate,{key} is used twice.,JutsuBattlegrounds,,{key} is used twice.,La touche {key} est utilisée deux fois.
settings.hint,Click a binding to change it.,JutsuBattlegrounds,,Click a binding to change it.,Clique sur une touche pour la changer.
settings.keyNotAllowed,{key} is not allowed.,JutsuBattlegrounds,,{key} is not allowed.,{key} n'est pas autorisée.
settings.music,Music volume,JutsuBattlegrounds,,Music volume,Volume musique
settings.pressKey,Press a key for {action}… (Esc to cancel),JutsuBattlegrounds,,Press a key for {action}… (Esc to cancel),Appuie sur une touche pour {action}… (Échap pour annuler)
settings.resetPending,Defaults restored. Don't forget to save!,JutsuBattlegrounds,,Defaults restored. Don't forget to save!,Touches par défaut restaurées. N'oublie pas de sauvegarder !
settings.saveFailed,Could not save settings.,JutsuBattlegrounds,,Could not save settings.,Impossible de sauvegarder les options.
settings.saved,Settings saved!,JutsuBattlegrounds,,Settings saved!,Options sauvegardées !
settings.saving,Saving…,JutsuBattlegrounds,,Saving…,Sauvegarde…
settings.sfx,Effects volume,JutsuBattlegrounds,,Effects volume,Volume effets
settings.swapped,Swapped {a} and {b}. Don't forget to save!,JutsuBattlegrounds,,Swapped {a} and {b}. Don't forget to save!,{a} et {b} échangés. N'oublie pas de sauvegarder !
settings.tab.audio,Audio,JutsuBattlegrounds,,Audio,Audio
settings.tab.gamepad,Gamepad,JutsuBattlegrounds,,Gamepad,Manette
settings.tab.keyboard,Keyboard,JutsuBattlegrounds,,Keyboard,Clavier
settings.title,Settings,JutsuBattlegrounds,,Settings,Options
shop.buyRobux,Buy with Robux,JutsuBattlegrounds,,Buy with Robux,Acheter en Robux
shop.buyRyo,{price} Ryo,JutsuBattlegrounds,,{price} Ryo,{price} Ryo
